Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 2, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 3, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 4, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 5, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 6, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 7, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 8, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 9, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 10, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 11, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 12, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 13, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 14, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 15, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 16, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 17, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 18, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 19, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 20, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 21, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 22, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 23, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 24, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 25, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 26, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 27, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 28, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 29, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 30, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 31, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 32, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 33, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 34, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 35, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 36, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 37, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 38, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 39, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 40, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 41, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 42, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 43, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 44, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 45, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 46, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 47, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 48, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 49, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 50, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 51, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 52, 2018",57027702.67020876,206867.99143618232,16875.896109661273,2423436.4049020573,67178.63374550591
"Week 1, 2019",8146814.66717268,29552.5702051689,2410.8423013801817,346205.2007002939,9596.947677929416
